width	height	description	isModerated	moderatedBy	predicted
10_10_11	344	115	Караганда	1	Norlist	
10_10_110	393	78	Караганда	1	Norlist	
10_10_111	299	93	Караганда	1	Norlist	
10_10_112	361	93	Караганда	1	Norlist	
10_10_113	452	97	Караганда	1	Norlist	
10_10_114	391	104	Караганда	1	Norlist	
10_10_115	395	90	Караганда	1	Norlist	
10_10_116	331	106	Караганда	1	Norlist	
10_10_117	516	89	Караганда	1	Norlist	
10_10_118	370	58	Караганда	1	Norlist	
10_10_119	284	81	Караганда	1	Norlist	
10_10_12	306	83	Караганда	1	Norlist	
10_10_120	582	89	Караганда	1	Norlist	
10_10_121	370	86	Караганда	1	Norlist	
10_10_122	507	68	Караганда	1	Norlist	
10_10_123	423	106	Карағанда	1	Norlist	
10_10_124	491	104	Караганда	1	Norlist	
10_10_125	425	112	Караганда	1	Norlist	
10_10_126	319	87	Караганда	1	Norlist	
10_10_127	418	77	Караганда	1	Norlist	
10_10_128	452	80	Караганда	1	Norlist	
10_10_129	600	104	Караганда	1	Norlist	
10_10_13	335	74	Караганда	1	Norlist	
10_10_130	486	118	Караганда	1	Norlist	
10_10_131	461	97	Караганда	1	Norlist	
10_10_132	524	105	Караганда	1	Norlist	
10_10_133	360	104	Караганда	1	Norlist	
10_10_134	373	76	Караганда	1	Norlist	
10_10_135	319	65	Караганда	1	Norlist	
10_10_136	358	79	Караганда	1	Norlist	
10_10_137	356	81	Караганда	1	Norlist	
10_10_138	445	126	Караганда	1	Norlist	
10_10_139	330	110	Караганда	1	Norlist	
10_10_14	342	77	Караганда	1	Norlist	
10_10_140	310	107	Караганда	1	Norlist	
10_10_142	371	104	Караганда	1	Norlist	
10_10_143	401	70	Караганда	1	Norlist	
10_10_144	435	61	Караганда	1	Norlist	
10_10_145	447	82	Караганда	1	Norlist	
10_10_146	357	70	Караганда	1	Norlist	
10_10_147	321	73	Караганда	1	Norlist	
10_10_148	248	80	Караганда	1	Norlist	
10_10_15	393	78	Караганда	1	Norlist	
10_10_150	455	88	Караганда	1	Norlist	
10_10_151	324	82	Караганда	1	Norlist	
10_10_152	443	87	Караганда	1	Norlist	
10_10_153	314	104	Караганда	1	Norlist	
10_10_154	448	110	Караганда	1	Norlist	
10_10_155	512	83	Караганда	1	Norlist	
10_10_156	458	83	Караганда	1	Norlist	
10_10_157	469	109	Караганда	1	Norlist	
10_10_158	519	108	Караганда	1	Norlist	
10_10_159	321	80	Караганда	1	Norlist	
10_10_16	331	91	Караганда	1	Norlist	
10_10_160	421	80	Караганда	1	Norlist	
10_10_161	374	75	Карағанда	1	Norlist	
10_10_162	355	125	Караганда	1	Norlist	
10_10_163	344	94	Караганда	1	Norlist	
10_10_164	432	116	Караганда	1	Norlist	
10_10_165	417	97	Караганда	1	Norlist	
10_10_166	322	75	Караганда	1	Norlist	
10_10_167	390	102	Караганда	1	Norlist	
10_10_168	320	101	Караганда	1	Norlist	
10_10_169	412	108	Караганда	1	Norlist	
10_10_17	302	125	Караганда	1	Norlist	
10_10_170	319	84	Караганда	1	Norlist	
10_10_171	303	126	Караганда	1	Norlist	
10_10_172	281	99	Караганда	1	Norlist	
10_10_173	369	104	Караганда	1	Norlist	
10_10_174	363	94	Караганда	1	Norlist	
10_10_175	407	89	Караганда	1	Norlist	
10_10_176	314	133	Караганда	1	Norlist	
10_10_177	286	91	Караганда	1	Norlist	
10_10_178	516	106	Караганда	1	Norlist	
10_10_179	340	98	Караганда	1	Norlist	
10_10_18	308	101	Караганда	1	Norlist	
10_10_180	417	115	Караганда	1	Norlist	
10_10_181	406	109	Караганда	1	Norlist	
10_10_182_	370	91	Караганда	1	Norlist	
10_10_183_	472	119	Караганда	1	Norlist	
10_10_184	301	75	Караганда	1	Norlist	
10_10_185	468	107	Караганда	1	Norlist	
10_10_186	417	106	Караганда	1	Norlist	
10_10_187	406	87	Караганда	1	Norlist	
10_10_188	266	105	Караганда	1	Norlist	
10_10_189_	492	62	Караганда	1	Norlist	
10_10_19	310	89	Караганда	1	Norlist	
10_10_190	318	109	Караганда	1	Norlist	
10_10_191	275	95	Караганда	1	Norlist	
10_10_192	352	63	Караганда	1	Norlist	
10_10_193	227	99	Караганда	1	Norlist	
10_10_194	327	124	Караганда	1	Norlist	
10_10_195	386	100	Караганда	1	Norlist	
10_10_196	318	89	Караганда	1	Norlist	
10_10_197	325	105	Караганда	1	Norlist	
10_10_198	294	67	Караганда	1	Norlist	
10_10_199	492	89	Караганда	1	Norlist	
10_10_2	328	90	Караганда	1	Norlist	
10_10_20	369	93	Караганда	1	Norlist	
10_10_200	304	78	Караганда	1	Norlist	
10_10_201	364	91	Караганда	1	Norlist	
10_10_202	374	80	Караганда	1	Norlist	
10_10_203	454	97	Караганда	1	Norlist	
10_10_204	423	93	Караганда	1	Norlist	
10_10_205	312	95	Караганда	1	Norlist	
10_10_206	406	122	Караганда	1	Norlist	
10_10_207	372	84	Караганда	1	Norlist	
10_10_208	423	104	Караганда	1	Norlist	
10_10_209	320	70	Караганда	1	Norlist	
10_10_21	330	87	Караганда	1	Norlist	
10_10_210	266	71	Караганда	1	Norlist	
10_10_211	339	81	Караганда	1	Norlist	
10_10_212	301	82	Караганда	1	Norlist	
10_10_213	319	80	Караганда	1	Norlist	
10_10_214	317	92	Караганда	1	Norlist	
10_10_215	302	95	Караганда	1	Norlist	
10_10_216	333	75	Караганда	1	Norlist	
10_10_217	441	90	караганда	1	Norlist	
10_10_218	326	73	Караганда	1	Norlist	
10_10_219	381	106	Караганда	1	Norlist	
10_10_22	315	77	Караганды	1	Norlist	
10_10_220	329	84	Караганда	1	Norlist	
10_10_221	422	106	Караганда	1	Norlist	
10_10_222	353	84	Караганда	1	Norlist	
10_10_223	402	101	Караганда	1	Norlist	
10_10_224_	360	82	Караганда	1	Norlist	
10_10_225_	321	100	Караганда	1	Norlist	
10_10_227	326	79	Караганда	1	Norlist	
10_10_228	324	78	Караганда	1	Norlist	
10_10_229	397	87	Караганда	1	Norlist	
10_10_23	389	99	Караганда	1	Norlist	
10_10_230	383	76	Караганда	1	Norlist	
10_10_231	381	73	Караганда	1	Norlist	
10_10_232	318	67	Караганда	1	Norlist	
10_10_233	383	83	Караганда	1	Norlist	
10_10_234	344	72	Караганда	1	Norlist	
10_10_235	437	106	Караганда	1	Norlist	
10_10_236	511	88	Караганда	1	Norlist	
10_10_237	544	94	Караганда	1	Norlist	
10_10_238	234	60	Караганда	1	Norlist	
10_10_239	340	88	Караганда	1	Norlist	
10_10_24	234	69	Караганда	1	Norlist	
10_10_240	302	71	Караганда	1	Norlist	
10_10_241_	365	94	Караганда	1	Norlist	
10_10_242	374	97	Караганда	1	Norlist	
10_10_243	268	72	Караганда	1	Norlist	
10_10_245	297	76	Караганда	1	Norlist	
10_10_246	444	90	Караганда	1	Norlist	
10_10_247	311	90	Караганда	1	Norlist	
10_10_248	329	81	Караганда	1	Norlist	
10_10_249	543	103	Караганда	1	Norlist	
10_10_25	259	82	Караганда	1	Norlist	
10_10_250	436	92	Караганда	1	Norlist	
10_10_251	387	93	Караганда	1	Norlist	
10_10_252	389	83	Караганда	1	Norlist	
10_10_253	234	66	Караганда	1	Norlist	
10_10_254	297	82	Караганда	1	Norlist	
10_10_255	371	82	Караганда	1	Norlist	
10_10_256	290	82	Караганда	1	Norlist	
10_10_257	417	66	Караганда	1	Norlist	
10_10_258	282	85	Караганда	1	Norlist	
10_10_259	276	73	Караганда	1	Norlist	
10_10_26	226	79	Караганда	1	Norlist	
10_10_260	298	87	Караганда	1	Norlist	
10_10_261	449	108	КАРАГАНДА	1	Norlist	
10_10_262	360	67	КАРАГАНДА	1	Norlist	
10_10_263	354	63	КАРАГАНДА	1	Norlist	
10_10_264	326	69	Кароганда	1	Norlist	
10_10_265	384	67	Караганда	1	Norlist	
10_10_266	556	94	КАРАГАНДА	1	Norlist	
10_10_267	512	109	КАРАГАНДА	1	Norlist	
10_10_268	284	45	КАРАГАНДА	1	Norlist	
10_10_269	325	47	Караганда	1	Norlist	
10_10_27	295	96	Караганда	1	Norlist	
10_10_270	340	70	КАРАГАНДА	1	Norlist	
10_10_271	338	60	КАРАГАНДА	1	Norlist	
10_10_272	289	57	КАРАГАНДА	1	Norlist	
10_10_273	319	80	КАРАГАНДА	1	Norlist	
10_10_274	373	78	Караганда	1	Norlist	
10_10_275	368	61	КАРАГАНДА	1	Norlist	
10_10_276	331	74	Караганда	1	Norlist	
10_10_277	418	58	КАРАГАНДА	1	Norlist	
10_10_278	359	71	Караганда	1	Norlist	
10_10_279	332	72	КАРАГАНДА	1	Norlist	
10_10_28	226	67	Караганда	1	Norlist	
10_10_280	397	74	КАРАГАНДА	1	Norlist	
10_10_281	290	72	КАРАГАНДА	1	Norlist	
10_10_282	317	67	КАРАГАНДА	1	Norlist	
10_10_283	462	78	КАРАГАНДА	1	Norlist	
10_10_284	411	65	КАРАГАНДА	1	Norlist	
10_10_285	380	89	Караганда	1	Norlist	
10_10_286	300	93	Караганда	1	Norlist	
10_10_287	429	58	Караганда	1	Norlist	
10_10_288	349	83	Караганда	1	Norlist	
10_10_289	307	86	Караганда	1	Norlist	
10_10_29	302	71	Караганда	1	Norlist	
10_10_290	312	81	Караганда	1	Norlist	
10_10_291	239	58	Кара ганда	1	Norlist	
10_10_292	331	96	Караганда	1	Norlist	
10_10_293	358	86	Караганда	1	Norlist	
10_10_294	437	76	Караганда	1	Norlist	
10_10_295	339	46	Караганда	1	Norlist	
10_10_296	336	81	Караганда	1	Norlist	
10_10_297	303	85	Караганда	1	Norlist	
10_10_298	294	93	Караганда	1	Norlist	
10_10_299	239	62	Караганда	1	Norlist	
10_10_3	452	100	Караганда	1	Norlist	
10_10_30	351	100	Караганда	1	Norlist	
10_10_300	440	120	Караганда	1	Norlist	
10_10_301	491	110	Караганда	1	Norlist	
10_10_302	258	72	КАРАГАНДА	1	Norlist	
10_10_303	341	81	Караганда	1	Norlist	
10_10_304	434	58	КАРАГАНДА	1	Norlist	
10_10_305	337	56	КАРАГАНДА	1	Norlist	
10_10_306	286	60	КАРАГАНДА	1	Norlist	
10_10_307	426	75	КАРАГАНДА	1	Norlist	
10_10_308	261	51	КАРАГАНДА	1	Norlist	
10_10_309	398	74	КарагКАРАГАНДАанда	1	Norlist	
10_10_31	270	98	Караганда	1	Norlist	
10_10_310	525	88	КАРАГАНДА	1	Norlist	
10_10_311	393	84	КАРАГАНДА	1	Norlist	
10_10_312	273	48	Караганда	1	Norlist	
10_10_313	667	87	Караганда	1	Norlist	
10_10_314	320	80	Караганда	1	Norlist	
10_10_315	452	83	Караганда	1	Norlist	
10_10_316	493	75	КАРАГАНДА	1	Norlist	
10_10_317	290	68	Караганда	1	Norlist	
10_10_318	341	84	Караганда	1	Norlist	
10_10_319	411	75	КАРАГАНДА	1	Norlist	
10_10_32	335	79	Караганда	1	Norlist	
10_10_320	373	101	Караганда	1	Norlist	
10_10_321	452	112	Караганда	1	Norlist	
10_10_322	357	87	Караганда	1	Norlist	
10_10_323	354	69	Караганда	1	Norlist	
10_10_324	274	71	КАРАГАНДА	1	Norlist	
10_10_325	520	89	Караганда	1	Norlist	
10_10_326	532	80	Караганда	1	Norlist	
10_10_327	287	63	Караганда	1	Norlist	
10_10_328	361	67	Караганда	1	Norlist	
10_10_329	277	37	КАРАГАНДА	1	Norlist	
10_10_33	249	81	Караганда	1	Norlist	
10_10_330	342	62	Караганда	1	Norlist	
10_10_331	379	53	КАРАГАНДА	1	Norlist	
10_10_332	346	71	Караганда	1	Norlist	
10_10_333	374	61	КАРАГАНДА	1	Norlist	
10_10_334	241	70	Караганда	1	Norlist	
10_10_335	346	95	Караганда	1	Norlist	
10_10_336	402	98	Караганда	1	Norlist	
10_10_337	340	70	Караганда	1	Norlist	
10_10_338	324	85	Караганда	1	Norlist	
10_10_339	348	88	Караганда	1	Norlist	
10_10_34	306	68	Караганда	1	Norlist	
10_10_340	290	79	Караганда	1	Norlist	
10_10_341	356	73	Караганда	1	Norlist	
10_10_342	392	97	Караганда	1	Norlist	
10_10_343	346	89	Карағанда	1	Norlist	
10_10_344	309	121	Караганда	1	Norlist	
10_10_345	378	85	Караганда	1	Norlist	
10_10_346	257	90	Караганда	1	Norlist	
10_10_347	446	100	Караганда	1	Norlist	
10_10_348	295	91	Караганда	1	Norlist	
10_10_35	285	66	Караганда	1	Norlist	
10_10_350	353	81	Караганда	1	Norlist	
10_10_351	308	95	Караганда	1	Norlist	
10_10_352	263	69	Караганда	1	Norlist	
10_10_353	291	73	Караганда	1	Norlist	
10_10_354	297	69	Караганда	1	Norlist	
10_10_355	290	77	Караганда	1	Norlist	
10_10_356	321	91	Караганда	1	Norlist	
10_10_357	323	91	Караганда	1	Norlist	
10_10_358	331	81	Караганда	1	Norlist	
10_10_359	354	64	Караганда	1	Norlist	
10_10_36	376	93	Караганда	1	Norlist	
10_10_360	406	69	Караганда	1	Norlist	
10_10_361	303	70	Караганда	1	Norlist	
10_10_362	284	88	Караганда	1	Norlist	
10_10_363_	294	126	Караганда	1	Norlist	
10_10_364	302	92	Караганда	1	Norlist	
10_10_365	358	97	Караганда	1	Norlist	
10_10_366	346	115	Караганда	1	Norlist	
10_10_367	291	97	Караганда	1	Norlist	
10_10_369	282	78	Караганда	1	Norlist	
10_10_37	443	82	Караганда	1	Norlist	
10_10_370	431	108	Караганда	1	Norlist	
10_10_371	491	94	Караганда	1	Norlist	
10_10_372	289	76	Караганда	1	Norlist	
10_10_373	352	78	Караганда	1	Norlist	
10_10_374	382	77	Караганда	1	Norlist	
10_10_375	330	59	Караганда	1	Norlist	
10_10_376	280	92	Караганда	1	Norlist	
10_10_377	413	90	Караганда	1	Norlist	
10_10_378	352	71	Караганда	1	Norlist	
10_10_379	373	88	Караганда	1	Norlist	
10_10_38	424	99	Караганда	1	Norlist	
10_10_380	292	88	Караганда	1	Norlist	
10_10_381	478	68	Караганда	1	Norlist	
10_10_382	359	86	Караганда	1	Norlist	
10_10_383	477	54	Караганда	1	Norlist	
10_10_384	356	96	Караганда	1	Norlist	
10_10_385	368	103	Караганда	1	Norlist	
10_10_386	333	124	Караганда	1	Norlist	
10_10_387	396	94	Караганда	1	Norlist	
10_10_388	394	93	Караганда	1	Norlist	
10_10_389	236	69	Караганда	1	Norlist	
10_10_39	334	66	Караганда	1	Norlist	
10_10_390	272	42	Караганда	1	Norlist	
10_10_391	342	85	Караганда	1	Norlist	
10_10_392	478	94	Караганда	1	Norlist	
10_10_394	342	67	Караганда	1	Norlist	
10_10_395	396	88	Караганда	1	Norlist	
10_10_396	261	48	Караганда	1	Norlist	
10_10_397	278	85	Караганда	1	Norlist	
10_10_398	527	70	Караганда	1	Norlist	
10_10_399	416	74	Караганда	1	Norlist	
10_10_4	281	73	Караганда	1	Norlist	
10_10_40	461	107	Караганда	1	Norlist	
10_10_400	449	75	Караганда	1	Norlist	
10_10_402	287	65	Караганда	1	Norlist	
10_10_403	365	85	Караганда	1	Norlist	
10_10_404	313	73	Караганда	1	Norlist	
10_10_405	302	95	Караганда	1	Norlist	
10_10_406	329	71	Караганда	1	Norlist	
10_10_407	286	67	Караганда	1	Norlist	
10_10_408	356	67	Караганда	1	Norlist	
10_10_409	385	118	Караганда	1	Norlist	
10_10_41	530	100	Караганда	1	Norlist	
10_10_410	424	99	Караганда	1	Norlist	
10_10_411	296	63	Караганда	1	Norlist	
10_10_412	427	92	Караганда	1	Norlist	
10_10_413	333	91	Караганда	1	Norlist	
10_10_414	292	86	Караганда	1	Norlist	
10_10_415	287	95	Караганда	1	Norlist	
10_10_416	266	52	Караганда	1	Norlist	
10_10_417	413	72	Караганда	1	Norlist	
10_10_418	339	99	Караганда	1	Norlist	
10_10_42	371	81	Караганда	1	Norlist	
10_10_420	414	90	Караганда	1	Norlist	
10_10_421	280	99	Караганда	1	Norlist	
10_10_422	319	85	Караганда	1	Norlist	
10_10_423	292	53	Караганда	1	Norlist	
10_10_424	547	100	Караганда	1	Norlist	
10_10_425	326	82	Караганда	1	Norlist	
10_10_426	334	68	Караганда	1	Norlist	
10_10_427	318	91	Караганда	1	Norlist	
10_10_428	415	98	Караганда	1	Norlist	
10_10_429	408	86	Караганда	1	Norlist	
10_10_430	379	112	Караганда	1	Norlist	
10_10_431	333	93	Караганда	1	Norlist	
10_10_432	462	61	Караганда	1	Norlist	
10_10_433	293	84	Караганда	1	Norlist	
10_10_434	290	67	Караганда	1	Norlist	
10_10_435	436	93	Караганда	1	Norlist	
10_10_436	383	95	Караганда	1	Norlist	
10_10_437	320	86	Караганда	1	Norlist	
10_10_438	368	85	Караганда	1	Norlist	
10_10_439	266	56	Караганда	1	Norlist	
10_10_44	284	77	Караганда	1	Norlist	
10_10_440	431	99	Караганда	1	Norlist	
10_10_441	399	56	Караганда	1	Norlist	
10_10_442	414	76	КАРАГАНДА	1	Norlist	
10_10_443	582	123	КАРАГАНДА	1	Norlist	
10_10_444	305	91	Караганда	1	Norlist	
10_10_445_	351	68	Караганда	1	Norlist	
10_10_446	501	83	КАРАГАНДА	1	Norlist	
10_10_447	385	92	КАРАГАНДА	1	Norlist	
10_10_448	463	70	Караганда	1	Norlist	
10_10_449	540	76	КАРАГАНДА	1	Norlist	
10_10_45	329	65	Караганда	1	Norlist	
10_10_450	320	80	КАРАГАНДА	1	Norlist	
10_10_451	424	53	КАРАГАНДА	1	Norlist	
10_10_452	240	48	КАРАГАНДА	1	Norlist	
10_10_453	369	71	КАРАГАНДА	1	Norlist	
10_10_454	441	95	КАРАГАНДА	1	Norlist	
10_10_455	356	49	КАРАГАНДА	1	Norlist	
10_10_456	332	82	Караганда	1	Norlist	
10_10_457	315	75	КАРАГАНДА	1	Norlist	
10_10_458	257	64	КАРАГАНДА	1	Norlist	
10_10_459	344	101	КАРАГАНДА	1	Norlist	
10_10_46	368	89	Караганда	1	Norlist	
10_10_460	368	114	КАРА ГАНДА	1	Norlist	
10_10_461	534	80	КАРАГАНДА	1	Norlist	
10_10_462	299	73	Караганда	1	Norlist	
10_10_463	559	89	КАРАГАНДА	1	Norlist	
10_10_464	244	86	Караганда	1	Norlist	
10_10_465	253	72	Караганда	1	Norlist	
10_10_466	387	82	КАРАГАНДА	1	Norlist	
10_10_467	422	86	КАРАГАНДА	1	Norlist	
10_10_468	247	46	КАРАГАНДА	1	Norlist	
10_10_469	264	65	КАРАГАНДА	1	Norlist	
10_10_47	391	81	Караганда	1	Norlist	
10_10_470	396	70	Караганда	1	Norlist	
10_10_471	314	59	Караганда	1	Norlist	
10_10_472	350	95	КАРАГАНДА	1	Norlist	
10_10_473	352	58	КАРАГАНДА	1	Norlist	
10_10_49	287	88	Караганда	1	Norlist	
10_10_5	281	76	Караганда	1	Norlist	
10_10_50	372	105	Караганда	1	Norlist	
10_10_51	472	99	Караганда	1	Norlist	
10_10_52	364	90	Караганда	1	Norlist	
10_10_54_	388	95	Караганда	1	Norlist	
10_10_56	482	112	Караганда	1	Norlist	
10_10_57	292	87	Караганда	1	Norlist	
10_10_58_	352	136	Караганда	1	Norlist	
10_10_59	559	93	Караганда	1	Norlist	
10_10_6	270	83	Караганда	1	Norlist	
10_10_60	324	72	Караганда	1	Norlist	
10_10_61	411	92	Караганда	1	Norlist	
10_10_62	298	70	Караганда	1	Norlist	
10_10_63	397	102	Караганда	1	Norlist	
10_10_64	386	93	Караганда	1	Norlist	
10_10_65	449	64	Караганда	1	Norlist	
10_10_66	404	95	Караганда	1	Norlist	
10_10_67	388	93	Караганда	1	Norlist	
10_10_68	309	81	Караганда	1	Norlist	
10_10_69	445	101	Караганда	1	Norlist	
10_10_7	313	91	Караганда	1	Norlist	
10_10_70	314	64	Караганда	1	Norlist	
10_10_71	476	108	Караганда	1	Norlist	
10_10_72	358	62	Караганда	1	Norlist	
10_10_73	368	89	Караганда	1	Norlist	
10_10_74	344	85	Караганда	1	Norlist	
10_10_75	457	97	Караганда	1	Norlist	
10_10_76	300	71	Караганда	1	Norlist	
10_10_77	606	74	Караганда	1	Norlist	
10_10_78	381	94	Караганда	1	Norlist	
10_10_79	371	74	Караганда	1	Norlist	
10_10_8	374	83	Караганда	1	Norlist	
10_10_80	355	92	Караганда	1	Norlist	
10_10_81	413	70	Караганда	1	Norlist	
10_10_82	286	98	Караганда	1	Norlist	
10_10_84	376	117	Караганда	1	Norlist	
10_10_86	328	66	Караганда	1	Norlist	
10_10_87	442	79	Караганда	1	Norlist	
10_10_88	364	84	Караганда	1	Norlist	
10_10_89	440	80	Караганда	1	Norlist	
10_10_9	286	92	Караганда	1	Norlist	
10_10_90	363	80	Караганда	1	Norlist	
10_10_91	433	73	Караганда	1	Norlist	
10_10_92	380	111	Караганда	1	Norlist	
10_10_93	380	102	Караганда	1	Norlist	
10_10_94	380	100	Караганда	1	Norlist	
10_10_95	345	87	Караганда	1	Norlist	
10_10_96_	311	73	Караганда	1	Norlist	
10_10_97	350	85	Караганда	1	Norlist	
10_10_98	520	85	Караганда	1	Norlist	
10_10_99	431	77	Караганда	1	Norlist	
10_11_0	311	48	Костанай	1	Norlist	
10_11_1	395	85	Костанай	1	Norlist	
10_11_10	433	79	Костанай	1	Norlist	
10_11_100	289	61	Костанай	1	Norlist	
10_11_101	277	68	Костанай	1	Norlist	
10_11_102	296	74	Костанай	1	Norlist	
10_11_103	328	56	Костанай	1	Norlist	
10_11_104	334	52	Костанай	1	Norlist	
10_11_105	250	73	Костанай	1	Norlist	
10_11_106	433	62	Костанай	1	Norlist	
10_11_107	337	74	Костанай	1	Norlist	
10_11_108	291	72	Костанай	1	Norlist	
10_11_109	247	58	Костанай	1	Norlist	
10_11_11	307	62	Костанай	1	Norlist	
10_11_110	350	56	Костанай	1	Norlist	
10_11_111	333	84	Костанай	1	Norlist	
10_11_112	319	68	Костанай	1	Norlist	
10_11_113	394	87	Костанай	1	Norlist	
10_11_114	324	75	Костанай	1	Norlist	
10_11_115	460	75	Костанай	1	Norlist	
10_11_116	318	82	Костанай	1	Norlist	
10_11_117	517	71	Костанаи	1	Norlist	
10_11_118	323	48	Костанай	1	Norlist	
10_11_119	314	65	Костанай	1	Norlist	
10_11_12	263	78	Костанай	1	Norlist	
10_11_121	367	59	Костанай	1	Norlist	
10_11_122	469	55	костанай	1	Norlist	
10_11_123	412	73	Қостанай	1	Norlist	
10_11_124	408	79	Костанай	1	Norlist	
10_11_125	487	67	Костанай	1	Norlist	
10_11_126	292	73	Костанай	1	Norlist	
10_11_127	440	63	Костанай	1	Norlist	
10_11_128	470	60	Костанай	1	Norlist	
10_11_129	576	78	Костанай	1	Norlist	
10_11_13	272	55	Костанай	1	Norlist	
10_11_130	443	86	Костанай	1	Norlist	
10_11_131	395	64	Костанай	1	Norlist	
10_11_132	535	68	Костанай	1	Norlist	
10_11_133	363	73	Костанай	1	Norlist	
10_11_134	375	77	Костанай	1	Norlist	
10_11_135	287	55	Костанай	1	Norlist	
10_11_136	367	58	Костанай	1	Norlist	
10_11_137	327	72	Костанай	1	Norlist	
10_11_138	383	82	Костанай	1	Norlist	
10_11_139	318	66	Костанай	1	Norlist	
10_11_14	261	63	Костанай	1	Norlist	
10_11_140	285	67	Костанаи	1	Norlist	
10_11_142	370	70	Костанай	1	Norlist	
10_11_143	364	56	Костанай	1	Norlist	
10_11_144	426	50	Костанаи	1	Norlist	
10_11_145	425	52	Костанаи	1	Norlist	
10_11_146	349	65	Костанай	1	Norlist	
10_11_147	360	62	Костанай	1	Norlist	
10_11_148	208	61	Қостанай	1	Norlist	
10_11_15	398	62	Костанай	1	Norlist	
10_11_150	419	87	Костанай	1	Norlist	
10_11_151	261	56	Костанай	1	Norlist	
10_11_152	470	81	Костанай	1	Norlist	
10_11_153	313	86	Костанай	1	Norlist	
10_11_154	452	60	Костанай	1	Norlist	
10_11_155	462	78	Костанай	1	Norlist	
10_11_156	409	85	Костанай	1	Norlist	
10_11_157	492	88	Костанай	1	Norlist	
10_11_158	497	77	Костанаи	1	Norlist	
10_11_159	315	74	Костанай	1	Norlist	
10_11_16	283	71	Костанай	1	Norlist	
10_11_160	443	55	Костанай	1	Norlist	
10_11_161	369	69	Ко станай	1	Norlist	
10_11_162	330	76	Костанай	1	Norlist	
10_11_163	317	75	Костанай	1	Norlist	
10_11_164	424	90	Ко станай	1	Norlist	
10_11_165	313	76	Костанай	1	Norlist	
10_11_166	293	65	Костанай	1	Norlist	
10_11_167	376	75	Костанай	1	Norlist	
10_11_168	297	75	Костанай	1	Norlist	
10_11_169	466	75	Костанай	1	Norlist	
10_11_17	297	72	Костанай	1	Norlist	
10_11_170	264	73	Костанай	1	Norlist	
10_11_171	270	87	Костанай	1	Norlist	
10_11_172	238	72	Костанай	1	Norlist	
10_11_173	383	70	Костанай	1	Norlist	
10_11_174	299	70	Костанай	1	Norlist	
10_11_175	373	73	Костанай	1	Norlist	
10_11_176	268	85	Костанай	1	Norlist	
10_11_177	278	62	Костанай	1	Norlist	
10_11_178	452	88	Костанай	1	Norlist	
10_11_179	308	87	Костанай	1	Norlist	
10_11_18	264	63	Костанай	1	Norlist	
10_11_180	364	72	Костанай	1	Norlist	
10_11_181	361	99	Костанай	1	Norlist	
10_11_182_	334	65	Костанай	1	Norlist	
10_11_183_	489	94	Костанай	1	Norlist	
10_11_184	267	59	Костанай	1	Norlist	
10_11_185	461	88	Костанай	1	Norlist	
10_11_186	379	73	Костанай	1	Norlist	
10_11_187	376	68	Костанай	1	Norlist	
10_11_188	250	79	Костанай	1	Norlist	
10_11_189_	475	43	Костанай	1	Norlist	
10_11_19	294	74	Костанай	1	Norlist	
10_11_190	298	84	Костанай	1	Norlist	
10_11_191	263	58	Костанай	1	Norlist	
10_11_192	302	57	Костанай	1	Norlist	
10_11_193	220	76	Костанай	1	Norlist	
10_11_194	310	104	Костанай	1	Norlist	
10_11_195	369	79	Костанай	1	Norlist	
10_11_196	304	88	Костанай	1	Norlist	
10_11_197	326	68	Костанай	1	Norlist	
10_11_198	281	57	Костанай	1	Norlist	
10_11_199	454	74	Костанай	1	Norlist	
10_11_2	287	67	Костанай	1	Norlist	
10_11_20	390	74	Костанай	1	Norlist	
10_11_200	329	72	Костанай	1	Norlist	
10_11_201	367	66	Костанай	1	Norlist	
10_11_202	297	67	Костанай	1	Norlist	
10_11_203	367	82	Костанай	1	Norlist	
10_11_204	380	60	Костанай	1	Norlist	
10_11_205	294	70	Костанай	1	Norlist	
10_11_206	390	73	Костанай	1	Norlist	
10_11_207	382	89	Костанай	1	Norlist	
10_11_208	405	95	Костанай	1	Norlist	
10_11_209	340	57	Костанай	1	Norlist	
10_11_21	279	62	Костанай	1	Norlist	
10_11_210	278	50	Костанай	1	Norlist	
10_11_211	349	62	Костанай	1	Norlist	
10_11_212	251	69	Костанай	1	Norlist	
10_11_213	297	60	Костанай	1	Norlist	
10_11_214	335	80	Костанай	1	Norlist	
10_11_215	300	80	Костаной	1	Norlist	
10_11_216	285	58	Костанай	1	Norlist	
10_11_217	425	86	Костанай	1	Norlist	
10_11_218	343	62	Костанай	1	Norlist	
10_11_219	448	77	Костанай	1	Norlist	
10_11_22	296	50	Костанай	1	Norlist	
10_11_220	313	46	Костанай	1	Norlist	
10_11_221	359	94	Костанай	1	Norlist	
10_11_222	287	78	Костанай	1	Norlist	
10_11_223	394	72	Костанай	1	Norlist	
10_11_224_	378	67	Костанаи	1	Norlist	
10_11_225_	313	73	Костанай	1	Norlist	
10_11_227	339	61	Костанай	1	Norlist	
10_11_228	238	68	Костанай	1	Norlist	
10_11_229	408	72	Костанай	1	Norlist	
10_11_23	359	59	Костанай	1	Norlist	
10_11_230	398	75	Костанай	1	Norlist	
10_11_231	406	72	Костанай	1	Norlist	
10_11_232	302	65	Костанай	1	Norlist	
10_11_233	355	67	Костанай	1	Norlist	
10_11_234	340	70	Костанай	1	Norlist	
