	width	height	description	moderatedBy
aug_1/aug_10_23_132	378	99	Абхазия	Norlist
aug_1/aug_10_23_135	300	74	Абхазия	Norlist
aug_1/aug_10_23_136	281	69	Абхазия	Norlist
aug_1/aug_10_23_138	338	85	Абхазия	Norlist
aug_1/aug_10_23_14	231	94	Абхазия	Norlist
aug_1/aug_10_23_140	245	93	Абхазия	Norlist
aug_1/aug_10_23_142	317	95	Абхазия	Norlist
aug_1/aug_10_23_143	293	69	Абхазия	Norlist
aug_1/aug_10_23_144	427	91	Абхазия	Norlist
aug_1/aug_10_23_145	391	93	Абхазия	Norlist
aug_1/aug_10_23_146	318	80	Абхазия	Norlist
aug_1/aug_10_23_147	320	73	Абхазия	Norlist
aug_1/aug_10_23_148	173	75	Абхазия	Norlist
aug_1/aug_10_23_15	306	92	Абхазия	Norlist
aug_1/aug_10_23_151	230	78	Абхазия	Norlist
aug_1/aug_10_23_152	330	96	Абхазия	Norlist
aug_1/aug_10_23_153	313	90	Абхазия	Norlist
aug_1/aug_10_23_155	386	97	Абхазия	Norlist
aug_1/aug_10_23_156	367	81	Абхазия	Norlist
aug_1/aug_10_23_16	250	88	Абхазия	Norlist
aug_1/aug_10_23_160	357	96	Абхазия	Norlist
aug_1/aug_10_23_161	315	93	Абхазия	Norlist
aug_1/aug_10_23_165	270	98	Абхазия	Norlist
aug_1/aug_10_23_166	280	79	Абхазия	Norlist
aug_1/aug_10_23_169	314	86	Абхазия	Norlist
aug_1/aug_10_23_170	207	89	Абхазия	Norlist
aug_1/aug_10_23_172	234	89	Абхазия	Norlist
aug_1/aug_10_23_173	315	92	Абхазия	Norlist
aug_1/aug_10_23_174	260	89	Абхазия	Norlist
aug_1/aug_10_23_175	337	87	Абхазия	Norlist
aug_1/aug_10_23_177	275	80	Абхазия	Norlist
aug_1/aug_10_23_18	252	85	Абхазия	Norlist
aug_1/aug_10_23_181	327	81	Абхазия	Norlist
aug_1/aug_10_23_182	276	92	Абхазия	Norlist
aug_1/aug_10_23_183	405	99	Абхазия	Norlist
aug_1/aug_10_23_184	240	61	Абхазия	Norlist
aug_1/aug_10_23_187	388	91	Абхазия	Norlist
aug_1/aug_10_23_188	214	89	Абхазия	Norlist
aug_1/aug_10_23_19	248	84	Абхазия	Norlist
aug_1/aug_10_23_191	246	78	Абхазия	Norlist
aug_1/aug_10_23_192	283	71	Абхазия	Norlist
aug_1/aug_10_23_193	184	91	Абхазия	Norlist
aug_1/aug_10_23_195	329	99	Абхазия	Norlist
aug_1/aug_10_23_196	279	94	Абхазия	Norlist
aug_1/aug_10_23_197	250	99	Абхазия	Norlist
aug_1/aug_10_23_198	250	79	Абхазия	Norlist
aug_1/aug_10_23_199	403	100	Абхазия	Norlist
aug_1/aug_10_23_2	226	99	Абхазия	Norlist
aug_1/aug_10_23_20	308	61	Абхазия	Norlist
aug_1/aug_10_23_200	342	93	Абхазия	Norlist
aug_1/aug_10_23_201	293	95	Абхазия	Norlist
aug_1/aug_10_23_202	300	89	Абхазия	Norlist
aug_1/aug_10_23_204	338	87	Абхазия	Norlist
aug_1/aug_10_23_209	262	86	Абхазия	Norlist
aug_1/aug_10_23_21	297	73	Абхазия	Norlist
aug_1/aug_10_23_210	232	80	Абхазия	Norlist
aug_1/aug_10_23_211	258	86	Абхазия	Norlist
aug_1/aug_10_23_212	259	95	Абхазия	Norlist
aug_1/aug_10_23_213	258	90	Абхазия	Norlist
aug_1/aug_10_23_214	240	79	Абхазия	Norlist
aug_1/aug_10_23_215	253	70	Абхазия	Norlist
aug_1/aug_10_23_216	255	85	Абхазия	Norlist
aug_1/aug_10_23_217	358	92	Абхазия	Norlist
aug_1/aug_10_23_218	252	67	Абхазия	Norlist
aug_1/aug_10_23_219	391	87	Абхазия	Norlist
aug_1/aug_10_23_22	261	93	Абхазия	Norlist
aug_1/aug_10_23_220	272	82	Абхазия	Norlist
aug_1/aug_10_23_222	238	93	Абхазия	Norlist
aug_1/aug_10_23_224	247	75	Абхазия	Norlist
aug_1/aug_10_23_225	308	65	Абхазия	Norlist
aug_1/aug_10_23_227	264	69	Абхазия	Norlist
aug_1/aug_10_23_228	214	72	Абхазия	Norlist
aug_1/aug_10_23_229	354	79	Абхазия	Norlist
aug_1/aug_10_23_23	298	82	Абхазия	Norlist
aug_1/aug_10_23_230	338	81	Абхазия	Norlist
aug_1/aug_10_23_231	297	86	Абхазия	Norlist
aug_1/aug_10_23_232	239	73	Абхазия	Norlist
aug_1/aug_10_23_234	260	97	Абхазия	Norlist
aug_1/aug_10_23_235	316	95	Абхазия	Norlist
aug_1/aug_10_23_236	373	91	Абхазия	Norlist
aug_1/aug_10_23_238	189	60	Абхазия	Norlist
aug_1/aug_10_23_239	298	83	Абхазия	Norlist
aug_1/aug_10_23_24	204	61	Абхазия	Norlist
aug_1/aug_10_23_240	217	66	Абхазия	Norlist
aug_1/aug_10_23_241	284	92	Абхазия	Norlist
aug_1/aug_10_23_242	309	93	Абхазия	Norlist
aug_1/aug_10_23_243	239	73	Абхазия	Norlist
aug_1/aug_10_23_245	215	78	Абхазия	Norlist
aug_1/aug_10_23_247	242	91	Абхазия	Norlist
aug_1/aug_10_23_248	295	82	Абхазия	Norlist
aug_1/aug_10_23_25	233	83	Абхазия	Norlist
aug_1/aug_10_23_250	308	92	Абхазия	Norlist
aug_1/aug_10_23_251	286	92	Абхазия	Norlist
aug_1/aug_10_23_252	285	94	Абхазия	Norlist
aug_1/aug_10_23_253	231	69	Абхазия	Norlist
aug_1/aug_10_23_254	284	75	Абхазия	Norlist
aug_1/aug_10_23_255	223	79	Абхазия	Norlist
aug_1/aug_10_23_256	199	73	Абхазия	Norlist
aug_1/aug_10_23_257	307	89	Абхазия	Norlist
aug_1/aug_10_23_258	235	96	Абхазия	Norlist
aug_1/aug_10_23_259	243	69	Абхазия	Norlist
aug_1/aug_10_23_26	231	77	Абхазия	Norlist
aug_1/aug_10_23_260	193	85	Абхазия	Norlist
aug_1/aug_10_23_261	374	94	АБХАЗИЯ	Norlist
aug_1/aug_10_23_263	266	65	Абхазия	Norlist
aug_1/aug_10_23_264	248	71	АБХАЗИЯ	Norlist
aug_1/aug_10_23_268	249	44	АБХАЗИЯ	Norlist
aug_1/aug_10_23_269	271	62	Абхазия	Norlist
aug_1/aug_10_23_27	259	84	Абхазия	Norlist
aug_1/aug_10_23_270	262	57	АБХАЗИЯ	Norlist
aug_1/aug_10_23_271	241	51	АБХАЗИЯ	Norlist
aug_1/aug_10_23_272	226	54	АБХАЗИЯ	Norlist
aug_1/aug_10_23_273	264	54	АБХАЗИЯ	Norlist
aug_1/aug_10_23_274	288	77	Абхазия	Norlist
aug_1/aug_10_23_275	315	70	Абхазия	Norlist
aug_1/aug_10_23_276	294	66	Абхазия	Norlist
aug_1/aug_10_23_277	344	59	АБХАЗИЯ	Norlist
aug_1/aug_10_23_278	331	69	АБХАЗИЯ	Norlist
aug_1/aug_10_23_279	338	82	АБХАЗИЯ	Norlist
aug_1/aug_10_23_28	200	80	Абхазия	Norlist
aug_1/aug_10_23_280	306	67	АБХАЗИЯ	Norlist
aug_1/aug_10_23_281	258	73	АБХАЗИЯ	Norlist
aug_1/aug_10_23_282	302	74	АБХАЗИЯ	Norlist
aug_1/aug_10_23_283	362	84	АБХАЗИЯ	Norlist
aug_1/aug_10_23_284	336	65	АБХАЗИЯ	Norlist
aug_1/aug_10_23_285	304	96	Абхазия	Norlist
aug_1/aug_10_23_286	224	96	Абхазия	Norlist
aug_1/aug_10_23_287	324	69	Абхазия	Norlist
aug_1/aug_10_23_288	332	97	Абхазия	Norlist
aug_1/aug_10_23_289	235	73	Абхазия	Norlist
aug_1/aug_10_23_29	223	89	Абхазия	Norlist
aug_1/aug_10_23_290	255	88	Абхазия	Norlist
aug_1/aug_10_23_291	182	70	Абхазия	Norlist
aug_1/aug_10_23_292	302	93	Абхазия	Norlist
aug_1/aug_10_23_293	285	90	Абхазия	Norlist
aug_1/aug_10_23_294	373	71	Абхазия	Norlist
aug_1/aug_10_23_295	263	55	Абхазия	Norlist
aug_1/aug_10_23_296	268	74	Абхазия	Norlist
aug_1/aug_10_23_297	233	70	Абхазия	Norlist
aug_1/aug_10_23_298	214	82	Абхазия	Norlist
aug_1/aug_10_23_299	232	69	Абхазия	Norlist
aug_1/aug_10_23_3	308	87	Абхазия	Norlist
aug_1/aug_10_23_30	264	76	Абхазия	Norlist
aug_1/aug_10_23_300	267	89	Абхазия	Norlist
aug_1/aug_10_23_301	355	84	АБХАЗИЯ	Norlist
aug_1/aug_10_23_302	244	78	АБХАЗИЯ	Norlist
aug_1/aug_10_23_303	248	75	АБХАЗИЯ	Norlist
aug_1/aug_10_23_304	329	63	АБХАЗИЯ	Norlist
aug_1/aug_10_23_306	232	76	АБХАЗИЯ	Norlist
aug_1/aug_10_23_307	365	91	АБХАЗИЯ	Norlist
aug_1/aug_10_23_308	245	39	Абхазия	Norlist
aug_1/aug_10_23_309	361	72	АБХАЗИЯ	Norlist
aug_1/aug_10_23_31	223	57	Абхазия	Norlist
aug_1/aug_10_23_310	454	97	АБХАЗИЯ	Norlist
aug_1/aug_10_23_311	282	61	АБХАЗИЯ	Norlist
aug_1/aug_10_23_312	227	45	АБХАЗИЯ	Norlist
aug_1/aug_10_23_313	497	72	АБХАЗИЯ	Norlist
aug_1/aug_10_23_314	223	79	АБХАЗИЯ	Norlist
aug_1/aug_10_23_315	343	75	АБХАЗИЯ	Norlist
aug_1/aug_10_23_316	372	65	АБХАЗИЯ	Norlist
aug_1/aug_10_23_317	257	67	АБХАЗИЯ	Norlist
aug_1/aug_10_23_318	282	73	Абхазия	Norlist
aug_1/aug_10_23_319	353	83	АБХАЗИЯ	Norlist
aug_1/aug_10_23_32	310	80	Абхазия	Norlist
aug_1/aug_10_23_320	352	92	АБХАЗИЯ	Norlist
aug_1/aug_10_23_322	281	75	АБХАЗИЯ	Norlist
aug_1/aug_10_23_323	309	62	АБХАЗИЯ	Norlist
aug_1/aug_10_23_324	243	70	АБХАЗИЯ	Norlist
aug_1/aug_10_23_325	375	74	АБХАЗИЯ	Norlist
aug_1/aug_10_23_326	422	89	АБХАЗИЯ	Norlist
aug_1/aug_10_23_327	249	60	Абхазия	Norlist
aug_1/aug_10_23_328	222	47	Абхазия	Norlist
aug_1/aug_10_23_329	202	55	Абхазия	Norlist
aug_1/aug_10_23_33	221	84	Абхазия	Norlist
aug_1/aug_10_23_330	277	63	АБХАЗИЯ	Norlist
aug_1/aug_10_23_331	362	62	АБХАЗИЯ	Norlist
aug_1/aug_10_23_332	255	62	АБХАЗИЯ	Norlist
aug_1/aug_10_23_333	303	63	АБХАЗИЯ	Norlist
aug_1/aug_10_23_334	189	71	Абхазия	Norlist
aug_1/aug_10_23_335	268	99	Абхазия	Norlist
aug_1/aug_10_23_336	325	83	Абхазия	Norlist
aug_1/aug_10_23_337	307	63	Абхазия	Norlist
aug_1/aug_10_23_338	262	85	Абхазия	Norlist
aug_1/aug_10_23_339	265	75	Абхазия	Norlist
aug_1/aug_10_23_34	231	69	Абхазия	Norlist
aug_1/aug_10_23_340	225	82	Абхазия	Norlist
aug_1/aug_10_23_341	246	77	Абхазия	Norlist
aug_1/aug_10_23_343	252	91	Абхазия	Norlist
aug_1/aug_10_23_344	206	71	Абхазия	Norlist
aug_1/aug_10_23_345	312	80	Абхазия	Norlist
aug_1/aug_10_23_346	204	69	Абхазия	Norlist
aug_1/aug_10_23_348	223	77	Абхазия	Norlist
aug_1/aug_10_23_35	273	64	Абхазия	Norlist
aug_1/aug_10_23_350	248	77	Абхазия	Norlist
aug_1/aug_10_23_351	241	88	Абхазия	Norlist
aug_1/aug_10_23_352	242	84	Абхазия	Norlist
aug_1/aug_10_23_353	220	90	Абхазия	Norlist
aug_1/aug_10_23_354	250	81	Абхазия	Norlist
aug_1/aug_10_23_355	241	83	Абхазия	Norlist
aug_1/aug_10_23_356	257	83	Абхазия	Norlist
aug_1/aug_10_23_357	272	87	Абхазия	Norlist
aug_1/aug_10_23_358	236	69	Абхазия	Norlist
aug_1/aug_10_23_359	230	68	Абхазия	Norlist
aug_1/aug_10_23_36	257	92	Абхазия	Norlist
aug_1/aug_10_23_360	366	68	Абхазия	Norlist
aug_1/aug_10_23_361	257	82	Абхазия	Norlist
aug_1/aug_10_23_364	228	98	Абхазия	Norlist
aug_1/aug_10_23_366	284	100	Абхазия	Norlist
aug_1/aug_10_23_369	217	77	Абхазия	Norlist
aug_1/aug_10_23_37	316	85	Абхазия	Norlist
aug_1/aug_10_23_370	336	97	Абхазия	Norlist
aug_1/aug_10_23_371	443	75	Абхазия	Norlist
aug_1/aug_10_23_372	219	70	Абхазия	Norlist
aug_1/aug_10_23_373	293	70	Абхазия	Norlist
aug_1/aug_10_23_374	304	74	Абхазия	Norlist
aug_1/aug_10_23_375	268	56	Абхазия	Norlist
aug_1/aug_10_23_376	236	78	Абхазия	Norlist
aug_1/aug_10_23_377	362	89	Абхазия	Norlist
aug_1/aug_10_23_378	282	80	Абхазия	Norlist
aug_1/aug_10_23_379	324	69	Абхазия	Norlist
aug_1/aug_10_23_38	359	80	Абхазия	Norlist
aug_1/aug_10_23_380	255	85	Абхазия	Norlist
aug_1/aug_10_23_381	360	79	Абхазия	Norlist
aug_1/aug_10_23_382	272	92	Абхазия	Norlist
aug_1/aug_10_23_383	379	79	Абхазия	Norlist
aug_1/aug_10_23_384	292	88	Абхазия	Norlist
aug_1/aug_10_23_385	262	88	Абхазия	Norlist
aug_1/aug_10_23_388	260	89	Абхазия	Norlist
aug_1/aug_10_23_389	188	56	Абхазия	Norlist
aug_1/aug_10_23_390	217	47	Абхазия	Norlist
aug_1/aug_10_23_391	275	87	Абхазия	Norlist
aug_1/aug_10_23_394	251	78	Абхазия	Norlist
aug_1/aug_10_23_395	279	85	Абхазия	Norlist
aug_1/aug_10_23_396	232	65	Абхазия	Norlist
aug_1/aug_10_23_397	261	72	Абхазия	Norlist
aug_1/aug_10_23_398	326	81	Абхазия	Norlist
aug_1/aug_10_23_399	256	63	Абхазия	Norlist
aug_1/aug_10_23_4	225	61	Абхазия	Norlist
aug_1/aug_10_23_40	316	64	Абхазия	Norlist
aug_1/aug_10_23_402	223	76	Абхазия	Norlist
aug_1/aug_10_23_403	269	68	Абхазия	Norlist
aug_1/aug_10_23_404	246	56	Абхазия	Norlist
aug_1/aug_10_23_406	274	92	Абхазия	Norlist
aug_1/aug_10_23_407	222	88	Абхазия	Norlist
aug_1/aug_10_23_408	234	75	Абхазия	Norlist
aug_1/aug_10_23_411	236	69	Абхазия	Norlist
aug_1/aug_10_23_412	249	70	Абхазия	Norlist
aug_1/aug_10_23_413	271	89	Абхазия	Norlist
aug_1/aug_10_23_414	291	100	Абхазия	Norlist
aug_1/aug_10_23_415	249	84	Абхазия	Norlist
aug_1/aug_10_23_417	359	82	Абхазия	Norlist
aug_1/aug_10_23_418	275	99	Абхазия	Norlist
aug_1/aug_10_23_419	262	78	Абхазия	Norlist
aug_1/aug_10_23_42	292	82	Абхазия	Norlist
aug_1/aug_10_23_420	338	92	Абхазия	Norlist
aug_1/aug_10_23_422	223	81	Абхазия	Norlist
aug_1/aug_10_23_423	256	60	Абхазия	Norlist
aug_1/aug_10_23_424	355	89	Абхазия	Norlist
aug_1/aug_10_23_425	273	88	Абхазия	Norlist
aug_1/aug_10_23_426	321	76	Абхазия	Norlist
aug_1/aug_10_23_427	274	93	Абхазия	Norlist
aug_1/aug_10_23_429	344	88	Абхазия	Norlist
aug_1/aug_10_23_43	291	82	Абхазия	Norlist
aug_1/aug_10_23_432	334	81	Абхазия	Norlist
aug_1/aug_10_23_433	206	74	Абхазия	Norlist
aug_1/aug_10_23_434	238	81	Абхазия	Norlist
aug_1/aug_10_23_435	325	78	Абхазия	Norlist
aug_1/aug_10_23_438	290	87	Абхазия	Norlist
aug_1/aug_10_23_439	218	56	Абхазия	Norlist
aug_1/aug_10_23_44	323	75	Абхазия	Norlist
aug_1/aug_10_23_440	318	87	Абхазия	Norlist
aug_1/aug_10_23_441	316	63	Абхазия	Norlist
aug_1/aug_10_23_442	340	69	АБХАЗИЯ	Norlist
aug_1/aug_10_23_443	356	93	Абхазия	Norlist
aug_1/aug_10_23_444	240	74	Абхазия	Norlist
aug_1/aug_10_23_445	265	66	АБХАЗИЯ	Norlist
aug_1/aug_10_23_446	401	74	АБХАЗИЯ	Norlist
aug_1/aug_10_23_447	318	72	АБХАЗИЯ	Norlist
aug_1/aug_10_23_448	305	70	АБХАЗИЯ	Norlist
aug_1/aug_10_23_449	312	84	АБХАЗИЯ	Norlist
aug_1/aug_10_23_45	235	78	Абхазия	Norlist
aug_1/aug_10_23_450	277	90	АБХАЗИЯ	Norlist
aug_1/aug_10_23_451	321	83	АБХАЗИЯ	Norlist
aug_1/aug_10_23_452	260	72	АБХАЗИЯ	Norlist
aug_1/aug_10_23_453	302	60	АБХАЗИЯ	Norlist
aug_1/aug_10_23_454	395	85	АБХАЗИЯ	Norlist
aug_1/aug_10_23_455	260	55	Абхазия	Norlist
aug_1/aug_10_23_456	309	69	АБХАЗИЯ	Norlist
aug_1/aug_10_23_457	250	67	АБХАЗИЯ	Norlist
aug_1/aug_10_23_458	261	78	Абхазия	Norlist
aug_1/aug_10_23_459	309	98	АБХАЗИЯ	Norlist
aug_1/aug_10_23_46	259	64	Абхазия	Norlist
aug_1/aug_10_23_461	395	85	АБХАЗИЯ	Norlist
aug_1/aug_10_23_462	238	60	АБХАЗИЯ	Norlist
aug_1/aug_10_23_463	425	85	АБХАЗИЯ	Norlist
aug_1/aug_10_23_464	203	83	АБХАЗИЯ	Norlist
aug_1/aug_10_23_465	230	68	Абхазия	Norlist
aug_1/aug_10_23_466	304	69	АБХАЗИЯ	Norlist
aug_1/aug_10_23_467	307	78	АБХАЗИЯ	Norlist
aug_1/aug_10_23_468	250	59	АБХАЗИЯ	Norlist
aug_1/aug_10_23_469	240	64	АБХАЗИЯ	Norlist
aug_1/aug_10_23_47	307	88	Абхазия	Norlist
aug_1/aug_10_23_470	387	85	АБХАЗИЯ	Norlist
aug_1/aug_10_23_471	280	82	Абхазия	Norlist
aug_1/aug_10_23_472	319	91	АБХАЗИЯ	Norlist
aug_1/aug_10_23_473	338	64	АБХАЗИЯ	Norlist
aug_1/aug_10_23_49	243	84	Абхазия	Norlist
aug_1/aug_10_23_5	231	80	Абхазия	Norlist
aug_1/aug_10_23_51	331	81	Абхазия	Norlist
aug_1/aug_10_23_52	267	99	Абхазия	Norlist
aug_1/aug_10_23_59	439	90	Абхазия	Norlist
aug_1/aug_10_23_6	231	74	Абхазия	Norlist
aug_1/aug_10_23_61	294	81	Абхазия	Norlist
aug_1/aug_10_23_62	246	77	Абхазия	Norlist
aug_1/aug_10_23_63	300	100	Абхазия	Norlist
aug_1/aug_10_23_64	260	92	Абхазия	Norlist
aug_1/aug_10_23_65	312	72	Абхазия	Norlist
aug_1/aug_10_23_66	315	87	Абхазия	Norlist
aug_1/aug_10_23_70	267	89	Абхазия	Norlist
aug_1/aug_10_23_71	349	98	Абхазия	Norlist
aug_1/aug_10_23_72	263	77	Абхазия	Norlist
aug_1/aug_10_23_73	304	93	Абхазия	Norlist
aug_1/aug_10_23_74	254	85	Абхазия	Norlist
aug_1/aug_10_23_76	201	69	Абхазия	Norlist
aug_1/aug_10_23_77	379	66	Абхазия	Norlist
aug_1/aug_10_23_78	270	90	Абхазия	Norlist
aug_1/aug_10_23_79	321	90	Абхазия	Norlist
aug_1/aug_10_23_8	295	76	Абхазия	Norlist
aug_1/aug_10_23_80	258	100	Абхазия	Norlist
aug_1/aug_10_23_81	286	78	Абхазия	Norlist
aug_1/aug_10_23_86	256	83	Абхазия	Norlist
aug_1/aug_10_23_88	290	100	Абхазия	Norlist
aug_1/aug_10_23_89	412	81	Абхазия	Norlist
aug_1/aug_10_23_9	259	83	Абхазия	Norlist
aug_1/aug_10_23_90	316	81	Абхазия	Norlist
aug_1/aug_10_23_93	256	80	Абхазия	Norlist
aug_1/aug_10_23_94	281	89	Абхазия	Norlist
aug_1/aug_10_23_95	265	94	Абхазия	Norlist
aug_1/aug_10_23_97	286	86	Абхазия	Norlist
aug_1/aug_10_23_98	492	88	Абхазия	Norlist
aug_1/aug_10_24_0	496	57	Южная Осетия	Norlist
aug_1/aug_10_24_1	479	77	Южная Осетия	Norlist
aug_1/aug_10_24_100	523	64	Южная Осетия	Norlist
aug_1/aug_10_24_101	422	71	Южная Осетия	Norlist
aug_1/aug_10_24_102	449	71	Южная Осетия	Norlist
aug_1/aug_10_24_103	481	63	Южная Осетия	Norlist
aug_1/aug_10_24_104	586	56	Южная Осетия	Norlist
aug_1/aug_10_24_105	383	63	Южная Осетия	Norlist
aug_1/aug_10_24_107	592	75	Южная Осетия	Norlist
aug_1/aug_10_24_108	476	74	Южная Осетия	Norlist
aug_1/aug_10_24_109	474	50	Южная Осетия	Norlist
aug_1/aug_10_24_11	525	89	Южная Осетия	Norlist
aug_1/aug_10_24_110	525	69	Южная Осетия	Norlist
aug_1/aug_10_24_112	540	89	Южная Осетия	Norlist
aug_1/aug_10_24_113	594	65	Южная Осетия	Norlist
aug_1/aug_10_24_116	579	65	Южная Осетия	Norlist
aug_1/aug_10_24_118	492	45	Южная Осетия	Norlist
aug_1/aug_10_24_119	539	86	Южная Осетия	Norlist
aug_1/aug_10_24_12	472	77	Южная Осетия	Norlist
aug_1/aug_10_24_120	580	55	Южная Осетия	Norlist
aug_1/aug_10_24_126	516	80	Южная Осетия	Norlist
aug_1/aug_10_24_128	510	55	Южно Осетия	Norlist
aug_1/aug_10_24_13	490	53	Южная Осетия	Norlist
aug_1/aug_10_24_130	599	75	Южная Осетия	Norlist
aug_1/aug_10_24_134	496	59	Южная Осетия	Norlist
aug_1/aug_10_24_135	488	55	Южная Осетия	Norlist
aug_1/aug_10_24_136	545	64	Южная Осетия	Norlist
aug_1/aug_10_24_137	465	65	Южная Осетия	Norlist
aug_1/aug_10_24_138	571	67	Южная Осетия	Norlist
aug_1/aug_10_24_139	460	71	Южная Осетия	Norlist
aug_1/aug_10_24_14	411	59	Южная Осетия	Norlist
aug_1/aug_10_24_140	449	75	Южная Осетия	Norlist
aug_1/aug_10_24_141_	508	69	Южная Осетия	Norlist
aug_1/aug_10_24_142	546	64	Южная Осетия	Norlist
aug_1/aug_10_24_143	470	53	Южная Осетия	Norlist
aug_1/aug_10_24_146	548	57	Южная Осетия	Norlist
aug_1/aug_10_24_148	290	57	Южная Осетия	Norlist
aug_1/aug_10_24_150	542	67	Южная Осетия	Norlist
aug_1/aug_10_24_151	588	69	Южная Осетия	Norlist
aug_1/aug_10_24_159_	483	70	Южная Осетия	Norlist
aug_1/aug_10_24_16	460	70	Южная Осетия	Norlist
aug_1/aug_10_24_163	598	80	Южная Осетия	Norlist
aug_1/aug_10_24_165	480	94	Южная Осетия	Norlist
aug_1/aug_10_24_166	579	52	Южная Осетия	Norlist
aug_1/aug_10_24_168_	569	85	Южная Осетия	Norlist
aug_1/aug_10_24_17	452	76	Южная Осетия	Norlist
aug_1/aug_10_24_170	435	53	Южная Остетия	Norlist
aug_1/aug_10_24_171	528	73	Южная Осетия	Norlist
aug_1/aug_10_24_172	469	69	Южная - Осетия	Norlist
aug_1/aug_10_24_174	449	77	Южная Осетия	Norlist
aug_1/aug_10_24_175	546	76	Южная Осетия	Norlist
aug_1/aug_10_24_176	491	87	Южная Осетия	Norlist
aug_1/aug_10_24_177	509	80	Южная Осетия	Norlist
aug_1/aug_10_24_179	520	60	Южная Осетия	Norlist
aug_1/aug_10_24_18	426	58	Южная Осетия	Norlist
aug_1/aug_10_24_180	570	92	Южная Осетия	Norlist
aug_1/aug_10_24_181	574	73	Южная Осетия	Norlist
aug_1/aug_10_24_182	506	62	Южная Осетия	Norlist
aug_1/aug_10_24_184	481	58	Южная Осетия	Norlist
aug_1/aug_10_24_188	403	89	Южная Осетия	Norlist
aug_1/aug_10_24_189_	594	50	Южная Осетия	Norlist
aug_1/aug_10_24_19	518	60	Южная Осетия	Norlist
aug_1/aug_10_24_191	469	54	Южная Осетия	Norlist
aug_1/aug_10_24_192	531	56	Южная Осетия	Norlist
aug_1/aug_10_24_193	352	73	Южная Осетия	Norlist
aug_1/aug_10_24_194	536	76	Южная Осетия	Norlist
aug_1/aug_10_24_196	555	87	Южная Осетия	Norlist
aug_1/aug_10_24_197	529	60	Южная Осетия	Norlist
aug_1/aug_10_24_198	455	59	Южная Осетия	Norlist
aug_1/aug_10_24_2	463	75	Южная Осетия	Norlist
aug_1/aug_10_24_20	529	49	Южная Осетия	Norlist
aug_1/aug_10_24_200	587	69	Южная Осетия	Norlist
aug_1/aug_10_24_201	553	66	Южная Осетия	Norlist
aug_1/aug_10_24_202	501	79	Южная Осетия	Norlist
aug_1/aug_10_24_205	504	78	Южная Осетия	Norlist
aug_1/aug_10_24_206	588	67	Южная Осетия	Norlist
aug_1/aug_10_24_207	506	79	Южная Осетия	Norlist
aug_1/aug_10_24_209	544	57	Южная Осетия	Norlist
aug_1/aug_10_24_21	483	67	Южная Осетия	Norlist
aug_1/aug_10_24_210	489	55	Южная Осетия	Norlist
aug_1/aug_10_24_211	516	62	Южная Осетия	Norlist
aug_1/aug_10_24_212	485	82	Южная Осетия	Norlist
aug_1/aug_10_24_213	456	58	Южная Осетия	Norlist
aug_1/aug_10_24_214	475	54	Южная Осетия	Norlist
aug_1/aug_10_24_215	429	64	Южная Осетия	Norlist
aug_1/aug_10_24_216	518	59	Южная Осеатия	Norlist
aug_1/aug_10_24_218	530	57	Южная Осетия	Norlist
aug_1/aug_10_24_22	492	69	Южная - Осетия	Norlist
aug_1/aug_10_24_220	448	56	Южная Осетия	Norlist
aug_1/aug_10_24_222	488	96	Южная Осетия	Norlist
aug_1/aug_10_24_224	459	51	Южная Осетия	Norlist
aug_1/aug_10_24_225	482	73	Южная Осетия	Norlist
aug_1/aug_10_24_227	480	56	Южная Осетия	Norlist
aug_1/aug_10_24_228	520	70	Южная Осетия	Norlist
aug_1/aug_10_24_229	530	68	Южная Осетия	Norlist
aug_1/aug_10_24_23	519	65	Южная Осетия	Norlist
aug_1/aug_10_24_231	588	61	Южная Осетия	Norlist
aug_1/aug_10_24_232	460	59	Южная Осетия	Norlist
aug_1/aug_10_24_233	502	60	Южная Осетия	Norlist
aug_1/aug_10_24_234	516	72	Южная Осетия	Norlist
aug_1/aug_10_24_235	589	63	Южная Осетия	Norlist
aug_1/aug_10_24_238	343	50	Южная Осетия	Norlist
aug_1/aug_10_24_239	507	47	Южная Осетия	Norlist
aug_1/aug_10_24_24	396	50	Южная Осетия	Norlist
aug_1/aug_10_24_240	422	51	Южная Осетия	Norlist
aug_1/aug_10_24_241	585	73	Южная Осетия	Norlist
aug_1/aug_10_24_242	547	59	Южная Осетия	Norlist
aug_1/aug_10_24_243	435	81	Южная Осетия	Norlist
aug_1/aug_10_24_245	484	55	Южная Осетия	Norlist
aug_1/aug_10_24_247	489	62	Южная Осетия	Norlist
aug_1/aug_10_24_248	560	78	Южная Осетия	Norlist
aug_1/aug_10_24_249	529	63	Южная - Осетия	Norlist
aug_1/aug_10_24_25	395	69	Южная Осетия	Norlist
aug_1/aug_10_24_251	574	73	Южная Осетия	Norlist
aug_1/aug_10_24_253	430	41	Южная Осетия	Norlist
aug_1/aug_10_24_254	522	66	Южная Осетия	Norlist
aug_1/aug_10_24_255	418	59	Южная Осетия	Norlist
aug_1/aug_10_24_256	414	58	Южная Осетия	Norlist
aug_1/aug_10_24_257	556	79	Южная Осетия	Norlist
aug_1/aug_10_24_258	520	57	Южная Осетия	Norlist
aug_1/aug_10_24_259	473	56	Южная Осетия	Norlist
aug_1/aug_10_24_26	412	54	Южная Осетия	Norlist
